Version	Release Date	Features Delivered	Bugs Fixed	Known Issues	Owner	Notes
v1.0.0	2026-04-27				Cristo Chandra	
v1.1.0	2026-05-13	implement database locking and final production branding; synchronize invoice and DO numbering to start from 96, and add clearAllTransactions utility; move create buttons inline for better UX on Invoices, DO, and Expenses; update invoice PDF format and add draft edit functionality	added missing resetAdminPassword utility to Code.gs; change fixed discount to per-unit calculation for invoices; reliably deduce line-item and overall discounts dynamically from gross vs net totals; ensure mathematically perfect tallying (Subtotal - Discount = Total) across all legacy records; ensure column Aft Disc displays actual discounted unit price instead of nominal discount value		Cristo Chandra	
v2.0.0	2026-05-13		After Disc = Unit Price - discount, Subtotal = sum of row totals, remove Total Discount row, cache bust v2.0		Cristo Chandra	
v2.1.0	2026-05-13		fully robust legacy Line_Total detection to automatically derive net unit price vs discount amount, bump v2.1		Cristo Chandra	
v2.2.0	2026-05-13	implement dynamic per-customer B2B pricing agreement mapping with automatic invoice suggestion discounts, bump v2.2; add dedicated Add New buttons below search bars for Products, Customers, and Users tabs in Master Data view			Cristo Chandra	
v2.3.0	2026-05-13	add Excel parsing, variant mapping, and preview confirmation for E-commerce inventory deduction; implement smart product name matching against master data, strict e-commerce order status filtering, and grouped preview recaps; support channel filtering (All, Online, B2B) in Dashboard Top Selling SKUs chart and add Payment_Date input field for DO payment proof uploads; add Est. Value per Unit analytical column to E-Commerce stock out recap table			Cristo Chandra	
v2.4.0	2026-05-19	upgrade e-commerce sync, duplicate prevention, payment status sync, and history UI coloring; remove low stock alerts section from dashboard			Cristo Chandra	
v2.5.0	2026-06-22	stock opname inventory prep and invoice-DO status integration			Cristo Chandra	
v2.6.0	2026-07-01	desktop web layout + cashflow dashboard, Clinic (Express) warehouse, e-commerce SKU-Induk mapping, monthly expense view; add historical offline income import, wired into dashboard cashflow	exclude dividend/investment give-back payouts from dashboard expense and cashflow		Cristo Chandra	
v2.7.0	2026-08-05		TK-002 CSV stock-out reconciliation + import log		Cristo Chandra	
v2.8.0	2026-08-10	analytics — profit/margin, trends, channel & weekly online; exclude costless offline income from margin ratio			Cristo Chandra	
v2.9.0	2026-08-17	Shopee SKU rename migration, Acneshield product, name cross-check		TK-007 BD-05 DUO Bestfriend Gift Set has no confirmed composition — it is on the ignore list, so selling it moves no stock. TK-008 [BUY N GET M] promo listings deduct only the paid pack size; 7 historical lines affected, behaviour deliberately unchanged pending confirmation. Shopee Product/Variation IDs for SS-08 twin & triple and for BD-06 are still TBD — create them in Shopee before the listings go live.	Cristo Chandra	Backfill owed from the TK-006 bundle fix: 18 pcs SM-OCC-100, 2 pcs SM-CT-100, 2 pcs SM-UVS-025 were never deducted across Mar-Jun 2026. Re-upload those months to self-repair via the TK-002 reconciliation path. Add SM-AUV-025 to Master_Data BEFORE importing any Acneshield sale, or its COGS will be missing from margin analytics. COGS 45,500 is an estimate copied from UV Shield — replace with the actual landed cost. Deployed to production 2026-08-17; verified the live js/modules/inventory.js is byte-identical to the repo. Note the first push produced no Vercel deployment for ~13 min (TK-009) — the following push deployed normally.
